config_id,dataset,imbalance_method,method_family,classifier,minority_ratio,seed,precision,recall,f1,mcc,balanced_accuracy,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,cv_best_score,best_params,runtime_sec,train_size,test_size,train_phishing,test_phishing,train_phishing_pct,test_phishing_pct
vrbancic__none__decision_tree__rnative__s2,vrbancic,none,Baseline,decision_tree,,2,0.8991596638655462,0.928416485900217,0.9135538954108858,0.8670065934809218,0.9366958241499557,0.93925,0.9613599107675467,0.8984828358241616,2473,144,99,1284,0.9243,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 10}",6.3,16000,4000,5531,1383,34.57,34.58
vrbancic__none__random_forest__rnative__s2,vrbancic,none,Baseline,random_forest,,2,0.9226441631504922,0.9486623282718727,0.9354723707664884,0.9008480163088959,0.9533147331080418,0.95475,0.9915584761851082,0.9840239731905529,2507,110,71,1312,0.9466,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""n_estimators"": 100}",25.2,16000,4000,5531,1383,34.57,34.58
vrbancic__none__svm__rnative__s2,vrbancic,none,Baseline,svm,,2,0.9287272727272727,0.923355025307303,0.9260333575054388,0.8871261053339402,0.9429537831924364,0.949,0.9853014841775133,0.9687279616307395,2519,98,106,1277,0.9211,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",34.3,16000,4000,5531,1383,34.57,34.58
vrbancic__random_oversampling__decision_tree__rnative__s2,vrbancic,random_oversampling,Data-level (resampling),decision_tree,,2,0.8730053191489362,0.9493853940708604,0.909594735019051,0.8605371766809276,0.9382005304324497,0.93475,0.9564957252913607,0.8805437075933078,2426,191,70,1313,0.9225,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 2}",5.7,16000,4000,5531,1383,34.57,34.58
vrbancic__random_oversampling__random_forest__rnative__s2,vrbancic,random_oversampling,Data-level (resampling),random_forest,,2,0.9173611111111111,0.9551699204627621,0.9358838115479984,0.9013821747892388,0.9548490030284769,0.95475,0.991383719166438,0.9830682047210291,2498,119,62,1321,0.945,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 100}",32.2,16000,4000,5531,1383,34.57,34.58
vrbancic__random_oversampling__svm__rnative__s2,vrbancic,random_oversampling,Data-level (resampling),svm,,2,0.8902439024390244,0.9501084598698482,0.919202518363064,0.8754645481153439,0.9441027587847521,0.94225,0.9855614784139854,0.9678336782097908,2455,162,69,1314,0.919,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",53.1,16000,4000,5531,1383,34.57,34.58
vrbancic__random_undersampling__decision_tree__rnative__s2,vrbancic,random_undersampling,Data-level (resampling),decision_tree,,2,0.8801346801346801,0.9450469992769343,0.9114365411436542,0.8633666549561243,0.938515093066056,0.9365,0.957818214571779,0.8814117051640779,2439,178,76,1307,0.9165,"{""criterion"": ""gini"", ""max_depth"": 10, ""min_samples_split"": 10}",4.6,16000,4000,5531,1383,34.57,34.58
vrbancic__random_undersampling__random_forest__rnative__s2,vrbancic,random_undersampling,Data-level (resampling),random_forest,,2,0.8931195724782899,0.9667389732465654,0.9284722222222223,0.8900372172844581,0.9528001324008907,0.9485,0.9898535936812283,0.9781507302805399,2457,160,46,1337,0.9377,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 100}",19.4,16000,4000,5531,1383,34.57,34.58
vrbancic__random_undersampling__svm__rnative__s2,vrbancic,random_undersampling,Data-level (resampling),svm,,2,0.8807461692205196,0.9558929862617498,0.9167822468793342,0.8717760433823618,0.9437470280945738,0.94,0.9844911089431109,0.9660367447579216,2438,179,61,1322,0.9115,"{""C"": 10, ""gamma"": 0.01, ""kernel"": ""rbf""}",18.0,16000,4000,5531,1383,34.57,34.58
vrbancic__smote__decision_tree__rnative__s2,vrbancic,smote,Data-level (synthetic),decision_tree,,2,0.8876786929884275,0.9428778018799711,0.9144460028050491,0.8680685279988788,0.9399142543981438,0.939,0.9650508066314278,0.9156200759549926,2452,165,79,1304,0.9201,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_split"": 10}",8.8,16000,4000,5531,1383,34.57,34.58
vrbancic__smote__random_forest__rnative__s2,vrbancic,smote,Data-level (synthetic),random_forest,,2,0.9137336093857833,0.9573391178597253,0.9350282485875706,0.9000399909118454,0.9547872509436188,0.954,0.9919823137608235,0.9846651282837467,2492,125,59,1324,0.946,"{""max_depth"": null, ""max_features"": ""sqrt"", ""n_estimators"": 300}",39.4,16000,4000,5531,1383,34.57,34.58
