group_a,group_b,mean_a,mean_b,statistic,p_value,significant_holm
cost_sensitive,random_undersampling,0.9099,0.8824,1.0,1.52587890625e-05,True
smoteenn,smotetomek,0.8982,0.9112,3.0,3.814697265625e-05,True
random_undersampling,smotetomek,0.8824,0.9112,4.0,5.340576171875e-05,True
smote,smoteenn,0.9108,0.8982,7.0,0.00014495849609375,True
random_oversampling,random_undersampling,0.9083,0.8824,7.0,0.00014495849609375,True
cost_sensitive,smoteenn,0.9099,0.8982,8.0,0.00019073486328125,True
random_undersampling,smote,0.8824,0.9108,9.0,0.00025177001953125,True
random_oversampling,smoteenn,0.9083,0.8982,11.0,0.00041961669921875,True
adasyn,smote,0.8941,0.9108,26.0,0.0076904296875,False
adasyn,smotetomek,0.8941,0.9112,30.0,0.0138702392578125,False
adasyn,cost_sensitive,0.8941,0.9099,31.0,0.01593017578125,False
random_oversampling,smotetomek,0.9083,0.9112,33.0,0.02081298828125,False
random_undersampling,smoteenn,0.8824,0.8982,36.0,0.030364990234375,False
adasyn,random_oversampling,0.8941,0.9083,39.0,0.0431671142578125,False
random_oversampling,smote,0.9083,0.9108,41.0,0.05385589599609375,False
cost_sensitive,smotetomek,0.9099,0.9112,63.0,0.34654998779296875,False
adasyn,random_undersampling,0.8941,0.8824,65.0,0.39273834228515625,False
cost_sensitive,random_oversampling,0.9099,0.9083,67.0,0.44229888916015625,False
smote,smotetomek,0.9108,0.9112,61.0,0.4631068149666542,False
cost_sensitive,smote,0.9099,0.9108,77.0,0.7337265014648438,False
adasyn,smoteenn,0.8941,0.8982,80.0,0.83172607421875,False
