feature,mean_abs_shap,mean_shap,rank,imbalance_method
is_https,0.07035383705057907,0.0033035073626882655,1,none
entropy,0.040227539886740354,-0.0021942213250254372,2,none
digit_ratio,0.036002578600515395,0.0018433058393294414,3,none
dom_len,0.03287228887083756,0.004166642423673373,4,none
digit_cnt,0.028540113050765297,0.0011023642419292926,5,none
spec_ratio,0.024989731730876194,-0.005314289864527145,6,none
path_len,0.021725379032686374,0.001755912693508466,7,none
dash_cnt,0.020441735535268978,0.004131336420605229,8,none
url_len,0.018169853443643316,-0.0019141637094864912,9,none
dot_cnt,0.017545407851194246,-0.0027146227249880057,10,none
subdom_cnt,0.01729854412546705,0.0037204885629991543,11,none
letter_cnt,0.014978793102956906,-0.0016011687267787954,12,none
tld_len,0.009782293812265789,-0.0005975011017431149,13,none
special_cnt,0.007218681721860733,0.0013012535568242539,14,none
slash_cnt,0.007000246801834642,0.0007434971693407,15,none
letter_ratio,0.005490311006150973,0.0013815072074588584,16,none
query_len,0.002551778150527872,-5.853800586156649e-05,17,none
eq_cnt,0.0005757301658124648,-0.00017731963414271656,18,none
amp_cnt,0.0004601838947287022,-7.688046437015448e-05,19,none
qm_cnt,0.0004354514852811133,-4.737227427740396e-05,20,none
under_cnt,0.00027400642161016413,4.1603889170121095e-06,21,none
is_ip,2.996966074788744e-06,2.996966074788744e-06,22,none
is_https,0.11690419030290765,-0.04575357235848617,1,smote
entropy,0.07877733800359703,-0.038606738080534025,2,smote
digit_ratio,0.052734579772114,-0.02747693312670556,3,smote
dom_len,0.04731787331209237,-0.023892649984448823,4,smote
digit_cnt,0.046953373866302384,-0.024154522267476337,5,smote
spec_ratio,0.0393877307860397,-0.02797809718665128,6,smote
path_len,0.035952685835608025,-0.022517623667600295,7,smote
url_len,0.03276247475487531,-0.022246870541512805,8,smote
dot_cnt,0.03152300947517805,-0.019796476933957616,9,smote
letter_cnt,0.03089454305836404,-0.02074928790380998,10,smote
tld_len,0.02962201280497728,-0.02307697829282972,11,smote
dash_cnt,0.028909398573923648,-0.008252649118750413,12,smote
subdom_cnt,0.024832892677904863,-0.0066597632473777224,13,smote
slash_cnt,0.012467479524165987,-0.008859503413758055,14,smote
letter_ratio,0.012238719718001726,-0.009871281158535526,15,smote
special_cnt,0.011167216828649408,-0.008670665522839804,16,smote
query_len,0.002665873700152278,-0.0015058172275519094,17,smote
eq_cnt,0.0014857634648015386,-0.0011122489642876943,18,smote
qm_cnt,0.0007410369313373035,-0.00020218786497378226,19,smote
under_cnt,0.0005675035510342805,-0.00032201719839247955,20,smote
amp_cnt,0.00036719805016692926,-0.00022479199853580567,21,smote
is_ip,3.548517222499292e-06,3.548517222499292e-06,22,smote
is_https,0.1251353500085438,-0.04692397925708991,1,smoteenn
entropy,0.0771348414777589,-0.03774194220943244,2,smoteenn
digit_ratio,0.05674406337054806,-0.030921595773491392,3,smoteenn
digit_cnt,0.049539666121289495,-0.02613826741021407,4,smoteenn
dom_len,0.04741953150667455,-0.022986985320255855,5,smoteenn
path_len,0.03955864146050383,-0.023397665604598532,6,smoteenn
spec_ratio,0.03824190445612368,-0.024033319789483653,7,smoteenn
url_len,0.03761082881145713,-0.022548510746175292,8,smoteenn
dot_cnt,0.03567170869779636,-0.019997453593326064,9,smoteenn
letter_cnt,0.03472660736711644,-0.021102565271016865,10,smoteenn
dash_cnt,0.03127080842939507,-0.007462074293179219,11,smoteenn
tld_len,0.025613326483461898,-0.02027147742446123,12,smoteenn
subdom_cnt,0.02290138558669255,-0.005666166256537584,13,smoteenn
letter_ratio,0.012948610780327632,-0.009770861960040025,14,smoteenn
slash_cnt,0.010528646799871902,-0.007710974307883889,15,smoteenn
special_cnt,0.010177064015707596,-0.0064608534853154926,16,smoteenn
query_len,0.0041084512854400795,-0.0017185547103847276,17,smoteenn
eq_cnt,0.001721590808106496,-0.0011401872632854594,18,smoteenn
under_cnt,0.0005824120830703124,-0.00044106977138925113,19,smoteenn
qm_cnt,0.0004146755382786624,-0.00027682681315455783,20,smoteenn
amp_cnt,0.0001563233420171054,3.2098444080539e-05,21,smoteenn
is_ip,0.0,0.0,22,smoteenn
is_https,0.12036033454433624,-0.044515169655424514,1,random_undersampling
entropy,0.09162429643913969,-0.042057259312050156,2,random_undersampling
digit_ratio,0.058838198352611865,-0.03058998091647598,3,random_undersampling
dom_len,0.047355170682681774,-0.017247496335308254,4,random_undersampling
spec_ratio,0.041334897450259804,-0.02400377203943553,5,random_undersampling
digit_cnt,0.03950408090604865,-0.020563088618792795,6,random_undersampling
letter_cnt,0.032592451309241495,-0.014937647674550464,7,random_undersampling
dash_cnt,0.03250746092484095,-0.007259290190758552,8,random_undersampling
path_len,0.030924975755403383,-0.013364920781491476,9,random_undersampling
url_len,0.030856039918462683,-0.01583061156461059,10,random_undersampling
dot_cnt,0.0288300196946039,-0.014149776838009635,11,random_undersampling
subdom_cnt,0.02702547266064658,-0.005838097882657827,12,random_undersampling
tld_len,0.02279559296485602,-0.01400213755383161,13,random_undersampling
letter_ratio,0.010458762694515181,-0.005553626714886831,14,random_undersampling
slash_cnt,0.008695538929856106,-0.004703806967554314,15,random_undersampling
special_cnt,0.007376252612803938,-0.004609476010214939,16,random_undersampling
query_len,0.003009875516953234,-0.0015613865041236208,17,random_undersampling
eq_cnt,0.0018680417721089204,-0.0010463084862727436,18,random_undersampling
amp_cnt,0.0006335677042335262,-0.00034068823629582537,19,random_undersampling
under_cnt,0.0005018574165512407,-0.0001764155396612692,20,random_undersampling
qm_cnt,0.00031827992324852275,-6.5848786437639e-05,21,random_undersampling
is_ip,4.306489377849774e-05,4.306489377849774e-05,22,random_undersampling
