feature,mean_abs_shap,mean_shap,rank,imbalance_method
time_domain_activation,0.05645695663235181,-0.019036948764585282,1,none
directory_length,0.05295672098178352,-0.011049218809203539,2,none
length_url,0.033177260503956994,0.0010262044290529938,3,none
qty_slash_url,0.026559496747901652,-0.005595577009847428,4,none
qty_dot_domain,0.024225807681484347,-0.004600586219809185,5,none
qty_slash_directory,0.0230298586296526,-0.005746241410830265,6,none
qty_at_directory,0.012013778042135284,0.002493740493044631,7,none
ttl_hostname,0.011774504411357946,0.0002765996630770789,8,none
qty_exclamation_file,0.011457219401538654,0.0029021144331735018,9,none
qty_underline_file,0.011439585328625186,0.0026510550315444153,10,none
qty_and_file,0.010920995792592455,0.0027659736859617446,11,none
qty_underline_directory,0.010367283287522629,0.00258297035568695,12,none
qty_questionmark_directory,0.009993280080375361,0.0025066280493380505,13,none
qty_exclamation_directory,0.009936192923260654,0.0024133123388309563,14,none
qty_comma_directory,0.009717628579602464,0.0024141008177017346,15,none
time_domain_expiration,0.009570603503686114,-0.0029330295019968883,16,none
qty_equal_directory,0.009342240690562878,0.0023704851424821006,17,none
file_length,0.00927907394050642,-0.0014326246678713012,18,none
qty_hyphen_directory,0.009215077307390119,0.0018936541133285484,19,none
qty_percent_directory,0.008967995292407863,0.0018973392317551063,20,none
qty_and_directory,0.008955790592238137,0.002209902887798214,21,none
qty_asterisk_directory,0.008787101008617773,0.0019313733473049763,22,none
qty_dot_file,0.008456862977214102,-0.000548594595058205,23,none
qty_dot_url,0.008424704643874346,0.00010590122522377164,24,none
time_response,0.008296778869337789,0.0002478288407874508,25,none
qty_comma_file,0.007901778203634031,0.002417053154644613,26,none
qty_tilde_directory,0.007868432031556677,0.0019421651790141623,27,none
asn_ip,0.007619981753082387,0.0006218323112740882,28,none
qty_percent_file,0.0073814844493345225,0.0020379633760065426,29,none
qty_plus_directory,0.007096385405146827,0.0016320109862686216,30,none
qty_mx_servers,0.00659960870697026,-0.0013681173800682523,31,none
qty_at_file,0.006388331261933675,0.0015451360562362116,32,none
qty_dollar_directory,0.006365814050523191,0.0017363331677952456,33,none
qty_dot_directory,0.006298035533625079,-0.0024664049214284593,34,none
qty_nameservers,0.006110560617580973,-0.0014638432863420994,35,none
qty_space_directory,0.0059031431648045715,0.0016010091625197696,36,none
domain_length,0.005806621252090429,-0.0006152939792307674,37,none
qty_hyphen_file,0.00579517423789036,0.002002683232748356,38,none
tls_ssl_certificate,0.004896883670871068,-0.0002253920645069179,39,none
qty_space_file,0.004841444241145042,0.0010523372624223436,40,none
qty_hyphen_url,0.004736442937086377,0.000779191765988073,41,none
qty_vowels_domain,0.004625938240757075,0.0005127641619975322,42,none
qty_asterisk_file,0.00460274452358876,0.0012075775434939053,43,none
qty_plus_file,0.004533172681752245,0.0014591873934457482,44,none
qty_ip_resolved,0.004522605349007712,0.000335118421104368,45,none
qty_equal_file,0.004514690855284021,0.0011430707512910217,46,none
qty_redirects,0.004384944536773513,8.177380172812984e-05,47,none
domain_spf,0.0033905135665070014,-0.0006934226684591711,48,none
qty_hyphen_domain,0.0033178625697060523,0.00040507900088762074,49,none
params_length,0.003257476802655693,0.00027738630686267266,50,none
qty_tilde_file,0.002799107166381725,0.0006142454854035201,51,none
tld_present_params,0.002285119358668074,0.0009244573123928089,52,none
qty_slash_params,0.0018484949544749097,0.001041151239547626,53,none
qty_percent_params,0.00173301370922509,0.0011765954346248167,54,none
qty_exclamation_params,0.0016359942134026814,0.0007449795551234663,55,none
qty_asterisk_params,0.0016246133264616366,0.0007968584087632222,56,none
qty_dot_params,0.0015848567470967405,0.0004002515280681963,57,none
qty_questionmark_params,0.0015244693854376398,0.0005974963742283054,58,none
qty_tld_url,0.001438321134397979,-0.00029600861405096394,59,none
qty_at_params,0.0014271160642683252,0.0008316101255314677,60,none
qty_underline_params,0.0011690854857165985,0.0005329764299539018,61,none
qty_tilde_params,0.0011591343999514548,0.0006264198375840408,62,none
qty_plus_params,0.0011348153485725226,0.0006692932235818422,63,none
qty_space_params,0.001094122912432374,0.00041673151261052596,64,none
qty_comma_params,0.0010929725418837616,0.0004130731766146734,65,none
qty_equal_params,0.0010366550166414608,0.0008366315372156102,66,none
qty_and_params,0.000993033406366096,0.00025469076406238066,67,none
qty_params,0.0009640832264203474,0.0006505487749695695,68,none
url_shortened,0.00092709848948659,-0.00023873400007391317,69,none
qty_dollar_params,0.0008755570083060284,0.0004563540610570333,70,none
qty_equal_url,0.0008159095353578818,0.00039184252460354907,71,none
qty_hyphen_params,0.0007686390198427769,0.0003670908032228201,72,none
qty_underline_url,0.00043415521924274563,-0.0002174100767883422,73,none
qty_and_url,0.00028631693364474154,2.0811431123502286e-05,74,none
qty_percent_url,0.0002525387301756285,4.1159673429399915e-05,75,none
qty_at_url,0.00018434415909854765,-0.00011376065229383746,76,none
domain_in_ip,0.0001380724938838895,-0.0001380724938838895,77,none
email_in_url,8.001331946675147e-05,-1.813142396679568e-05,78,none
domain_google_index,7.548780232580069e-05,-4.8386777758790484e-05,79,none
url_google_index,6.003709774603193e-05,-3.872235356167427e-05,80,none
qty_plus_url,4.4360317085786856e-05,4.4360317085786856e-05,81,none
qty_comma_url,4.3638324596967263e-05,4.3638324596967263e-05,82,none
qty_exclamation_url,3.9347682485403195e-05,-2.0041699877428462e-05,83,none
qty_questionmark_url,2.285486841541904e-05,-5.828485303700055e-06,84,none
qty_tilde_url,1.8651603214461564e-05,-1.7836902492227418e-05,85,none
server_client_domain,1.2198649612278145e-05,3.201355957864645e-06,86,none
qty_dollar_url,5.218562994772283e-06,-5.218562994772283e-06,87,none
qty_asterisk_url,4.606795111094054e-06,-4.606795111094054e-06,88,none
qty_underline_domain,3.8261474675999145e-06,-3.276086400530325e-06,89,none
qty_hashtag_url,9.473315041579827e-07,-9.473315041579827e-07,90,none
qty_at_domain,8.659381896992952e-07,-8.659381896992952e-07,91,none
qty_space_url,5.161930199564656e-07,-5.161930199564656e-07,92,none
time_domain_activation,0.06177404362823281,-0.0308835124788013,1,smote
directory_length,0.037503935867671784,-0.019616858360316625,2,smote
length_url,0.03142079021463391,-0.0023762106186845356,3,smote
qty_slash_url,0.02806232482775296,-0.01422658302910232,4,smote
qty_slash_directory,0.026486514480306124,-0.013211050823058236,5,smote
qty_dot_domain,0.024786807038645494,-0.007876570861836584,6,smote
qty_exclamation_file,0.02289051220604434,-0.00027363870677619116,7,smote
qty_at_directory,0.017212614415546286,-0.0007824956631549665,8,smote
qty_questionmark_directory,0.017023567949288342,-0.0016576447489623843,9,smote
qty_asterisk_directory,0.014901811162428814,-0.0017569450725447647,10,smote
qty_comma_directory,0.014286127604570618,-0.0007124730258080933,11,smote
ttl_hostname,0.012971437300601624,-0.0028409818171589215,12,smote
qty_exclamation_directory,0.01278770613461767,-0.001969141168966913,13,smote
time_domain_expiration,0.0125537208203328,-0.005674321057163231,14,smote
qty_underline_file,0.012539942102687501,-0.001395281928461398,15,smote
file_length,0.011917565583333007,-0.0050040497604585555,16,smote
qty_percent_directory,0.011704155313191465,-0.0010878684542375012,17,smote
qty_equal_file,0.011523886439038953,-0.0017606103633960527,18,smote
qty_underline_directory,0.011478474023694243,-0.0015872313993444212,19,smote
qty_and_file,0.011214315929677287,-0.000390875714865907,20,smote
qty_at_file,0.01106849029932369,-0.0013737783186576467,21,smote
qty_equal_directory,0.01094530584917883,-0.00018405958420451526,22,smote
qty_tilde_directory,0.010733608503425902,-0.0002155106625429945,23,smote
qty_and_directory,0.00997060073624751,-0.0012336802465051295,24,smote
qty_comma_file,0.009394851107123521,-0.001125101440803101,25,smote
qty_dot_url,0.008943458715104793,-0.001929694692394654,26,smote
