Classifier,Imbalance method,precision,recall,f1,roc_auc,pr_auc,mcc
Decision Tree,No Treatment (Baseline),0.8099,0.7375,0.7714,0.8851,0.7274,0.7486
Decision Tree,Random Oversampling,0.7585,0.79,0.7735,0.8817,0.631,0.7483
Decision Tree,Random Undersampling,0.5509,0.895,0.682,0.9247,0.5428,0.662
Decision Tree,SMOTE,0.777,0.811,0.7932,0.8838,0.6483,0.7702
Decision Tree,ADASYN,0.808,0.8373,0.8222,0.9233,0.7265,0.8023
Decision Tree,SMOTEENN,0.7243,0.8609,0.7862,0.9199,0.6792,0.764
Decision Tree,SMOTETomek,0.777,0.811,0.7932,0.8838,0.6483,0.7702
Decision Tree,Cost-Sensitive Learning,0.7361,0.8215,0.7762,0.8967,0.6521,0.7513
Random Forest,No Treatment (Baseline),0.9235,0.8189,0.8677,0.9934,0.9487,0.8561
Random Forest,Random Oversampling,0.9188,0.8294,0.8716,0.9938,0.9533,0.8596
Random Forest,Random Undersampling,0.6813,0.9554,0.7949,0.9906,0.9312,0.7821
Random Forest,SMOTE,0.8986,0.8766,0.8871,0.994,0.9564,0.8751
Random Forest,ADASYN,0.8882,0.874,0.8809,0.9932,0.9522,0.8679
Random Forest,SMOTEENN,0.8362,0.8976,0.8658,0.992,0.9395,0.851
Random Forest,SMOTETomek,0.9009,0.8766,0.8883,0.9938,0.9558,0.8764
Random Forest,Cost-Sensitive Learning,0.946,0.7743,0.8513,0.9934,0.9481,0.8418
Support Vector Machine,No Treatment (Baseline),0.8859,0.853,0.8688,0.99,0.9248,0.855
Support Vector Machine,Random Oversampling,0.8486,0.8661,0.8572,0.9885,0.9116,0.8412
Support Vector Machine,Random Undersampling,0.6307,0.9449,0.7564,0.9858,0.8875,0.7425
Support Vector Machine,SMOTE,0.7837,0.9213,0.8469,0.9887,0.8963,0.8317
Support Vector Machine,ADASYN,0.7882,0.874,0.8265,0.9871,0.885,0.8091
Support Vector Machine,SMOTEENN,0.7368,0.9081,0.8133,0.9858,0.8804,0.7958
Support Vector Machine,SMOTETomek,0.7837,0.9213,0.8469,0.9887,0.8963,0.8317
Support Vector Machine,Cost-Sensitive Learning,0.8454,0.874,0.8594,0.9887,0.9118,0.8437
