Dataset,Classifier,Imbalance method,delta_recall,delta_precision,delta_f1,delta_pr_auc
Hannousse & Yahiouche,Decision Tree,ADASYN,0.0997,-0.0019,0.0507,-0.0009
Hannousse & Yahiouche,Decision Tree,SMOTE,0.0735,-0.0329,0.0218,-0.079
Hannousse & Yahiouche,Decision Tree,SMOTETomek,0.0735,-0.0329,0.0218,-0.079
Hannousse & Yahiouche,Random Forest,SMOTETomek,0.0577,-0.0226,0.0206,0.0071
Hannousse & Yahiouche,Random Forest,SMOTE,0.0577,-0.0249,0.0195,0.0077
UCI Phishing Websites,Decision Tree,SMOTETomek,0.0219,0.0112,0.0161,-0.0264
UCI Phishing Websites,Decision Tree,SMOTE,0.0219,0.0112,0.0161,-0.0264
Hannousse & Yahiouche,Decision Tree,SMOTEENN,0.1234,-0.0856,0.0148,-0.0482
Hannousse & Yahiouche,Random Forest,ADASYN,0.0551,-0.0353,0.0132,0.0034
UCI Phishing Websites,Random Forest,ADASYN,0.0341,-0.0202,0.01,0.0015
UCI Phishing Websites,Decision Tree,ADASYN,0.0268,-0.013,0.0076,-0.0419
UCI Phishing Websites,Random Forest,SMOTE,0.0243,-0.0175,0.0056,0.002
UCI Phishing Websites,Random Forest,SMOTETomek,0.0243,-0.0175,0.0056,0.0017
Hannousse & Yahiouche,Decision Tree,Cost-Sensitive Learning,0.084,-0.0738,0.0048,-0.0752
Hannousse & Yahiouche,Random Forest,Random Oversampling,0.0105,-0.0048,0.0039,0.0046
Hannousse & Yahiouche,Decision Tree,Random Oversampling,0.0525,-0.0514,0.0021,-0.0963
Hannousse & Yahiouche,Random Forest,SMOTEENN,0.0787,-0.0873,-0.0019,-0.0092
UCI Phishing Websites,Decision Tree,Random Oversampling,0.0341,-0.0451,-0.0045,0.0012
Hannousse & Yahiouche,Support Vector Machine,Cost-Sensitive Learning,0.021,-0.0405,-0.0095,-0.013
UCI Phishing Websites,Decision Tree,Cost-Sensitive Learning,0.0341,-0.0569,-0.01,-0.0207
Hannousse & Yahiouche,Support Vector Machine,Random Oversampling,0.0131,-0.0373,-0.0116,-0.0132
UCI Phishing Websites,Random Forest,Random Oversampling,0.0389,-0.0794,-0.016,-0.0049
Hannousse & Yahiouche,Random Forest,Cost-Sensitive Learning,-0.0446,0.0225,-0.0164,-0.0007
UCI Phishing Websites,Random Forest,Cost-Sensitive Learning,0.0,-0.0468,-0.0209,-0.0008
Hannousse & Yahiouche,Support Vector Machine,SMOTETomek,0.0682,-0.1022,-0.0219,-0.0285
Hannousse & Yahiouche,Support Vector Machine,SMOTE,0.0682,-0.1022,-0.0219,-0.0285
UCI Phishing Websites,Random Forest,SMOTEENN,0.0438,-0.1189,-0.0327,-0.0169
UCI Phishing Websites,Decision Tree,SMOTEENN,0.0535,-0.1197,-0.0342,-0.1282
UCI Phishing Websites,Support Vector Machine,SMOTE,0.0097,-0.1021,-0.0423,-0.0246
UCI Phishing Websites,Support Vector Machine,SMOTETomek,0.0097,-0.1021,-0.0423,-0.0246
Hannousse & Yahiouche,Support Vector Machine,ADASYN,0.021,-0.0977,-0.0423,-0.0398
UCI Phishing Websites,Support Vector Machine,Random Oversampling,0.0243,-0.1202,-0.0436,-0.0284
UCI Phishing Websites,Support Vector Machine,Cost-Sensitive Learning,0.0292,-0.1334,-0.0482,-0.0291
Hannousse & Yahiouche,Support Vector Machine,SMOTEENN,0.0551,-0.1491,-0.0555,-0.0445
Hannousse & Yahiouche,Random Forest,Random Undersampling,0.1365,-0.2423,-0.0728,-0.0175
UCI Phishing Websites,Support Vector Machine,ADASYN,0.0097,-0.1635,-0.0737,-0.0412
UCI Phishing Websites,Support Vector Machine,SMOTEENN,0.0487,-0.2081,-0.0809,-0.0472
Hannousse & Yahiouche,Decision Tree,Random Undersampling,0.1575,-0.259,-0.0895,-0.1846
UCI Phishing Websites,Random Forest,Random Undersampling,0.0779,-0.278,-0.1122,-0.032
Hannousse & Yahiouche,Support Vector Machine,Random Undersampling,0.0919,-0.2552,-0.1124,-0.0374
UCI Phishing Websites,Support Vector Machine,Random Undersampling,0.0608,-0.2989,-0.1318,-0.0501
UCI Phishing Websites,Decision Tree,Random Undersampling,0.0487,-0.3274,-0.1701,-0.195
